"type.name","team.name","player.name","duration","possession_team.name","location.x","location.y","shot.statsbomb_xg","pass.length","pass.angle","pass.cross","pass.switch","pass.end_location.x","pass.end_location.y","pass.recipient.name","pass.outcome.name","carry.end_location.x","carry.end_location.y"
"Starting XI","Barcelona",NA,0,"Barcelona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starting XI","Málaga",NA,0,"Barcelona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half Start","Málaga",NA,0,"Barcelona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half Start","Barcelona",NA,0,"Barcelona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Samuel Eto""o Fils",0.704954,"Barcelona",60,40,NA,1.7029387,1.6295521,NA,NA,59.9,38.3,"Andrés Iniesta Luján",NA,NA,NA
"Ball Receipt*","Barcelona","Andrés Iniesta Luján",NA,"Barcelona",59.9,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Andrés Iniesta Luján",0.040246002,"Barcelona",59.9,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2,40.3
"Pass","Barcelona","Andrés Iniesta Luján",1.015002,"Barcelona",60.2,40.3,NA,10.945775,3.0501056,NA,NA,49.3,39.3,"Ronaldo de Assis Moreira",NA,NA,NA
"Ball Receipt*","Barcelona","Ronaldo de Assis Moreira",NA,"Barcelona",49.3,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Ronaldo de Assis Moreira",0.595198,"Barcelona",49.3,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,39.4
"Pass","Barcelona","Ronaldo de Assis Moreira",2.403778,"Barcelona",50.6,39.4,NA,36.523144,-1.535195,NA,NA,51.9,75.9,"Giovanni van Bronckhorst",NA,NA,NA
"Ball Receipt*","Barcelona","Giovanni van Bronckhorst",NA,"Barcelona",51.9,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Giovanni van Bronckhorst",1.124222,"Barcelona",51.9,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,75.2
"Pressure","Málaga","Antonio Manuel Sánchez Gómez",0.5916,"Barcelona",67.2,4.40000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Giovanni van Bronckhorst",1.856926,"Barcelona",49.7,75.2,NA,23.23123,2.7203088,NA,NA,28.5,65.7,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",28.5,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Oleguer Presas Renom",1.816236,"Barcelona",28.5,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,61.2
