"player.name.2016_2017","player.nickname.2016_2017","player.name.2016_2017","player.nickname.2016_2017","player.name.2009_2010","player.nickname.2009_2010","player.name.2010_2011","player.nickname.2010_2011","player.name.2011_2012","player.nickname.2011_2012","player.name.2012_2013","player.nickname.2012_2013","player.name.2013_2014","player.nickname.2013_2014","player.name.2014_2015","player.nickname.2014_2015","player.name.2015_2016","player.nickname.2015_2016","player.name.2004_2005","player.nickname.2004_2005","player.name.2005_2006","player.nickname.2005_2006","player.name.2006_2007","player.nickname.2006_2007","player.name.2018_2019","player.nickname.2018_2019","player.name.2007_2008","player.nickname.2007_2008","player.name.2008_2009","player.nickname.2008_2009","player.name.2019_2020","player.nickname.2019_2020"
"Sergio Busquets i Burgos","Sergio Busquets","Neymar da Silva Santos Junior","Neymar","Zlatan Ibrahimovic",NA,"Daniel Alves da Silva","Dani Alves","Francesc Fàbregas i Soler","Cesc Fàbregas","Alexis Alejandro Sánchez Sánchez","Alexis Sánchez","Alexis Alejandro Sánchez Sánchez","Alexis Sánchez","Neymar da Silva Santos Junior","Neymar","Neymar da Silva Santos Junior","Neymar","Andrés Iniesta Luján","Andrés Iniesta","Andrés Iniesta Luján","Andrés Iniesta","Andrés Iniesta Luján","Andrés Iniesta","Philippe Coutinho Correia","Philippe Coutinho","Bojan Krkíc Pérez","Bojan","Daniel Alves da Silva","Dani Alves","Sergio Busquets i Burgos","Sergio Busquets"
"Jordi Alba Ramos","Jordi Alba","Luis Alberto Suárez Díaz","Luis Suárez","Pedro Eliezer Rodríguez Ledesma","Pedro","Sergio Busquets i Burgos","Sergio Busquets","Pedro Eliezer Rodríguez Ledesma","Pedro","Pedro Eliezer Rodríguez Ledesma","Pedro","Francesc Fàbregas i Soler","Cesc Fàbregas","Daniel Alves da Silva","Dani Alves","Claudio Andrés Bravo Muñoz","Claudio Bravo","Lionel Andrés Messi Cuccittini","Lionel Messi","Lionel Andrés Messi Cuccittini","Lionel Messi","Lionel Andrés Messi Cuccittini","Lionel Messi","Jordi Alba Ramos","Jordi Alba","Andrés Iniesta Luján","Andrés Iniesta","Sergio Busquets i Burgos","Sergio Busquets","Lionel Andrés Messi Cuccittini","Lionel Messi"
"Gerard Piqué Bernabéu","Gerard Piqué","Ivan Rakitic",NA,"Daniel Alves da Silva","Dani Alves","Gerard Piqué Bernabéu","Gerard Piqué","Daniel Alves da Silva","Dani Alves","Daniel Alves da Silva","Dani Alves","Pedro Eliezer Rodríguez Ledesma","Pedro","Claudio Andrés Bravo Muñoz","Claudio Bravo","Sergio Busquets i Burgos","Sergio Busquets","Rafael Márquez Álvarez","Rafael Márquez","Rafael Márquez Álvarez","Rafael Márquez","Lilian Thuram",NA,"Gerard Piqué Bernabéu","Gerard Piqué","Lionel Andrés Messi Cuccittini","Lionel Messi","Lionel Andrés Messi Cuccittini","Lionel Messi","Nélson Cabral Semedo","Nélson Semedo"
"Andrés Iniesta Luján","Andrés Iniesta","Samuel Yves Umtiti","Samuel Umtiti","Sergio Busquets i Burgos","Sergio Busquets","Andrés Iniesta Luján","Andrés Iniesta","Sergio Busquets i Burgos","Sergio Busquets","Sergio Busquets i Burgos","Sergio Busquets","Daniel Alves da Silva","Dani Alves","Sergio Busquets i Burgos","Sergio Busquets","Jordi Alba Ramos","Jordi Alba","Giovanni van Bronckhorst","Giovanni van Bronckhorst","Henrik Larsson",NA,"Gianluca Zambrotta",NA,"Luis Alberto Suárez Díaz","Luis Suárez","Giovani dos Santos Ramírez","Giovani dos Santos","Thierry Henry",NA,"Norberto Murara Neto","Neto"
"Luis Alberto Suárez Díaz","Luis Suárez","Lionel Andrés Messi Cuccittini","Lionel Messi","Gerard Piqué Bernabéu","Gerard Piqué","Lionel Andrés Messi Cuccittini","Lionel Messi","Thiago Alcântara do Nascimento","Thiago Alcântara","Jordi Alba Ramos","Jordi Alba","Sergio Busquets i Burgos","Sergio Busquets","Ivan Rakitic",NA,"Gerard Piqué Bernabéu","Gerard Piqué","Samuel Eto""o Fils","Samuel Eto'o","Carles Puyol i Saforcada","Carles Puyol","Giovanni van Bronckhorst","Giovanni van Bronckhorst","Ivan Rakitic",NA,"Thierry Henry",NA,"Samuel Eto""o Fils","Samuel Eto'o","Clément Lenglet",NA
"Ivan Rakitic",NA,"Javier Alejandro Mascherano","Javier Mascherano","Andrés Iniesta Luján","Andrés Iniesta","David Villa Sánchez","David Villa","Lionel Andrés Messi Cuccittini","Lionel Messi","Gerard Piqué Bernabéu","Gerard Piqué","Andrés Iniesta Luján","Andrés Iniesta","Lionel Andrés Messi Cuccittini","Lionel Messi","Andrés Iniesta Luján","Andrés Iniesta","Anderson Luís de Souza","Deco","Víctor Valdés Arribas","Víctor Valdés","Samuel Eto""o Fils","Samuel Eto'o","Lionel Andrés Messi Cuccittini","Lionel Messi","Carles Puyol i Saforcada","Carles Puyol","Carles Puyol i Saforcada","Carles Puyol","Arturo Erasmo Vidal Pardo","Arturo Vidal"
"Lionel Andrés Messi Cuccittini","Lionel Messi","Denis Suárez Fernández","Denis Suárez","Lionel Andrés Messi Cuccittini","Lionel Messi","Seydou Kéita","Seydou Kéita","Javier Alejandro Mascherano","Javier Mascherano","Andrés Iniesta Luján","Andrés Iniesta","Lionel Andrés Messi Cuccittini","Lionel Messi","Javier Alejandro Mascherano","Javier Mascherano","Luis Alberto Suárez Díaz","Luis Suárez","Carles Puyol i Saforcada","Carles Puyol","Oleguer Presas Renom","Oleguer","Anderson Luís de Souza","Deco","Nélson Cabral Semedo","Nélson Semedo","Xavier Hernández Creus","Xavi","Xavier Hernández Creus","Xavi","Marc-André ter Stegen","Marc-André ter Stegen"
"José Paulo Bezzera Maciel Júnior","Paulinho","Marc-André ter Stegen","Marc-André ter Stegen","Carles Puyol i Saforcada","Carles Puyol","Víctor Valdés Arribas","Víctor Valdés","Xavier Hernández Creus","Xavi","Lionel Andrés Messi Cuccittini","Lionel Messi","Javier Alejandro Mascherano","Javier Mascherano","Jérémy Mathieu",NA,"Ivan Rakitic",NA,"Víctor Valdés Arribas","Víctor Valdés","Ronaldo de Assis Moreira","Ronaldinho","Carles Puyol i Saforcada","Carles Puyol","Clément Lenglet",NA,"Víctor Valdés Arribas","Víctor Valdés","Seydou Kéita","Seydou Kéita","Anssumane Fati","Ansu Fati"
"Nélson Cabral Semedo","Nélson Semedo","Sergio Busquets i Burgos","Sergio Busquets","Xavier Hernández Creus","Xavi","Pedro Eliezer Rodríguez Ledesma","Pedro","Víctor Valdés Arribas","Víctor Valdés","Xavier Hernández Creus","Xavi","Xavier Hernández Creus","Xavi","Xavier Hernández Creus","Xavi","Lionel Andrés Messi Cuccittini","Lionel Messi","Juliano Haus Belletti","Juliano Belletti","José Edmílson Gomes de Moraes","Edmilson","Xavier Hernández Creus","Xavi","Arturo Erasmo Vidal Pardo","Arturo Vidal","Eric-Sylvain Bilal Abidal","Éric Abidal","Víctor Valdés Arribas","Víctor Valdés","Gerard Piqué Bernabéu","Gerard Piqué"
